Time,Analyse.Calculations.ElapsedTimeToCreateLayer,Analyse.Calculations.Heat.TotalCoolTime,Analyse.Calculations.Heat.TotalHeatTime,Analyse.Calculations.Melt[1].ContourLength,Analyse.Calculations.Melt[1].ContourTime,Analyse.Calculations.Melt[1].ScanlengthHistogram[0],Analyse.Calculations.Melt[1].ScanlengthHistogram[10],Analyse.Calculations.Melt[1].ScanlengthHistogram[11],Analyse.Calculations.Melt[1].ScanlengthHistogram[12],Analyse.Calculations.Melt[1].ScanlengthHistogram[13],Analyse.Calculations.Melt[1].ScanlengthHistogram[14],Analyse.Calculations.Melt[1].ScanlengthHistogram[15],Analyse.Calculations.Melt[1].ScanlengthHistogram[16],Analyse.Calculations.Melt[1].ScanlengthHistogram[1],Analyse.Calculations.Melt[1].ScanlengthHistogram[2],Analyse.Calculations.Melt[1].ScanlengthHistogram[3],Analyse.Calculations.Melt[1].ScanlengthHistogram[4],Analyse.Calculations.Melt[1].ScanlengthHistogram[5],Analyse.Calculations.Melt[1].ScanlengthHistogram[6],Analyse.Calculations.Melt[1].ScanlengthHistogram[7],Analyse.Calculations.Melt[1].ScanlengthHistogram[8],Analyse.Calculations.Melt[1].ScanlengthHistogram[9],Analyse.Calculations.Melt[1].SquareBeginSpeed,Analyse.Calculations.Melt[1].SquaresTime,Analyse.Calculations.Preheating[0].ApproximatedTotalPreheatTime,Analyse.Calculations.Preheating[0].Preheat1Area,Analyse.Calculations.Preheating[0].Preheat1Time,Analyse.Calculations.Preheating[0].Preheat2Area,Analyse.Calculations.Preheating[0].Preheat2Time,Analyse.Calculations.Preheating[0].Preheat3Area,Analyse.Calculations.Wafer[2].WaferTime,Builds.State.CurrentBuild.CurrentHeight,Number pores,ratio surface STL / POR,hist_diameter_1pix,hist_diameter_2pix,hist_diameter_3pix,hist_diameter_4pix,hist_diameter_5pix,hist_diameter_6pix,hist_diameter_7pix,hist_diameter_8pix,hist_diameter_9pix,hist_diameter_10pix,hist_diameter_11pix,hist_diameter_12pix,hist_diameter_13pix,hist_diameter_14pix
1.47E+12,1.940003,0,0,8275.919,10.59182,6,0,0,0,0,0,0,0,57,8,77,114,16,109,60,28,439,45473.68,16.8892,20.00926,43210.21,13.50323,38226.24,6.304669,4983.977,4.088968,0.2,334,0.0474815,27,21,19,14,6,11,9,3,3,0,2,2,1,128
1.47E+12,2.090003,0,0,8283.805,10.60234,80,203,0,0,0,0,0,0,61,60,193,96,83,145,34,25,144,45473.68,19.74354,20.01409,43249.3,13.51534,38202.93,6.300829,5046.363,4.088246,0.2,334,0.0474815,27,21,19,14,6,11,9,3,3,0,2,2,1,128
1.47E+12,2.090003,0,0,8283.805,10.60234,80,203,0,0,0,0,0,0,61,60,193,96,83,145,34,25,144,45473.68,19.74354,20.01409,43249.3,13.51534,38202.93,6.300829,5046.363,4.088246,0.25,169,0.0421064,15,3,1,0,0,0,0,0,0,0,0,0,0,122
1.47E+12,2.090003,0,0,8290.991,10.61192,95,168,0,0,0,0,0,0,65,79,207,45,83,136,49,23,186,45473.68,19.92964,20.01475,43210.21,13.50323,38227.68,6.304907,4982.531,4.080792,0.25,169,0.0421064,15,3,1,0,0,0,0,0,0,0,0,0,0,122
1.47E+12,2.090003,0,0,8290.991,10.61192,95,168,0,0,0,0,0,0,65,79,207,45,83,136,49,23,186,45473.68,19.92964,20.01475,43210.21,13.50323,38227.68,6.304907,4982.531,4.080792,0.3,153,0.0426694,3,1,0,0,0,1,0,0,0,0,0,1,0,131
1.47E+12,2.090003,0,0,8542.247,10.92659,16,0,0,0,0,0,0,0,59,36,18,164,39,88,69,50,405,45473.68,17.24336,20.01083,43249.3,13.51534,38202.08,6.300691,5047.219,4.06757,0.3,153,0.0426694,3,1,0,0,0,1,0,0,0,0,0,1,0,131
1.47E+12,2.090003,0,0,8542.247,10.92659,16,0,0,0,0,0,0,0,59,36,18,164,39,88,69,50,405,45473.68,17.24336,20.01083,43249.3,13.51534,38202.08,6.300691,5047.219,4.06757,0.35,146,0.0433161,2,1,1,0,0,0,0,0,0,0,0,0,0,130
1.47E+12,0.7900011,0,0,3975.38,5.091007,34,527,1,2,0,0,0,0,25,24,37,34,60,114,19,3,2,45473.68,17.51166,20.00957,43210.21,13.50323,38227.68,6.304907,4982.539,4.064956,0.35,146,0.0433161,2,1,1,0,0,0,0,0,0,0,0,0,0,130
1.47E+12,0.7900011,0,0,3975.38,5.091007,34,527,1,2,0,0,0,0,25,24,37,34,60,114,19,3,2,45473.68,17.51166,20.00957,43210.21,13.50323,38227.68,6.304907,4982.539,4.064956,0.4,148,0.0434602,3,0,0,2,0,0,0,0,0,0,0,0,0,133
1.47E+12,0.9600014,0,0,4212.832,5.388334,88,38,301,0,0,0,0,0,64,120,42,129,91,96,56,60,37,45473.68,20.8225,20.02272,43249.3,13.51534,38244.76,6.30773,5004.535,4.045325,0.4,148,0.0434602,3,0,0,2,0,0,0,0,0,0,0,0,0,133
